label,sentence
1,family day enjoy tour
-1,guy people
-1,family dad
-1,start miss hope btw tomorrow interview
-1,garden lol tomorrow revise
1,job http play remember
-1,mum love pick
-1,series start shit week
-1,start finish
-1,world call planet
1,diet day airport miss fam florida
-1,tonight start feel lose
1,word read story
1,lol sum club
-1,move day pack dance hav
1,feel miss wanna people
-1,aww lol moon
-1,weekend hey mom miss night call friend
1,sunday world enjoy bit bank holiday
-1,friday time run
-1,baby feel stop drive road traffic
-1,review love tea send
1,baby leave cat bird
1,aunt love weekend fam miss event friend blast learn
-1,city wait tomorrow talk
-1,answer people reply
-1,house time call lot
-1,link love send
-1,rain lot
-1,time watch wake nap
1,kick feel night sleep
-1,day mother piece pack
-1,bike ride
1,half hour home lol pay money bore chillin
-1,start people lot
-1,lil lol shit fuck expect goin sum germany class
-1,button hit
1,fail hope tomorrow afternoon god
1,girl guy lady
1,sigh home
1,day suck kinda honey sleep
1,http leg
1,hope kill
-1,talk yesterday twitter join
1,family girl party house night damn
1,hit miss
-1,stay minute lol
-1,tonight tweet friend pic
1,girl shopping hate dinner
1,flight wait love call
-1,hour leave
-1,hate week person btw
1,day god lol news
-1,damn lol stuff list june remind
-1,chri lol people
-1,mall day start ugh bit nite
1,summer suppose winter
-1,http bit
-1,tennis play shower wait home night bed tomorrow chillin
-1,stay feel finish evening
1,hair cut hope
1,america lol day watchin ass guess hell movie tho
1,hate boo minute update haha site
-1,food fun
-1,stand people job god cry
-1,reach time weekend event lol
-1,run http guess hope bit haha
-1,hehe wait lol pick tomorrow
1,chance watch sit daughter
-1,time listen song jonasbrothers
1,food bit
1,half hour
-1,follower pay day vip add train
1,site friend vote
-1,hair salon love
-1,week flight stay couple delay hotel
1,hear kid feel hope
-1,tonight party
-1,shit lol sort add
1,time night sleep wake
1,beach jone fun hope hear enjoy concert guy donniewahlberg
1,live visit
-1,happen hear song line
-1,day ass pain graduation hope honey love
-1,didnt lol hope enjoy fun june
-1,hear wait pick dinner
1,pic phone send
1,demus lol pic tweet yeah cheer
-1,dream world night wake love stop
-1,weekend hope friend hang
1,freakin day watch mess gonna movie spend hangover
1,live drive
1,tonight leave tomorrow couple
-1,follower pay day vip add train
1,eat stay
-1,family time watch guy night movie love
1,talk suck hope record
1,buy lvatt
1,time yall pain ima idk wat
-1,follower friend life bless
-1,suppose lol home smell
-1,talk wait birthday
1,goin twitter wit tomorrow packing
-1,hear song guy break fave
1,time speak eat lady
1,hey message xxx
-1,watch concert night
1,rest day spend feeling foot
-1,stuff hope bunch
1,ipod play
1,day rain cheer hold band umbrella
1,shopping trip gonna
-1,text miss tweet haha
-1,sound friend love joe
1,front sit
-1,feeling gonna haha
1,move watch guy tonight hit dog
1,weekend week tweet goin
1,tea drink feel load
1,beach leave wanna
-1,feel foot break
-1,follower follow friday
1,lil morning stuff lot wake
-1,sunday family time miss haha spend
1,online wait stay heart
1,dont guy tour
1,realize week prepare class remember
-1,rest time night friend bar
-1,girl bit mind
1,yay week time shower
-1,mother friend list add
-1,sit home
-1,vid time sing haha birthday picture
1,page miss chat
-1,hey feel guy music haha
1,sunday leave home church
1,wait cat friend
-1,listen people haha reply
1,driver drive dad
-1,stuff wait gotta tomorrow finish concert
-1,life stop
1,live america day donut
1,read miss tweet news pass
1,day twit rain crap cos morning
-1,enjoy people class
1,house night spend saturday news
-1,sun day degree havin song jason mraz
1,kid stuff
-1,girl friday gotta lol thursday fave nite
-1,buy size wear lose gain
1,tonight party life dad mum parent
1,ticket lol mix lot
-1,suppose hour lol idea
-1,http play
-1,eat play month
-1,wait feel reply weather holiday haha tan
-1,life day
1,sunday lunch wait night love youtube germany
-1,people love surprise
-1,wtf twitter gonna house leave god app
-1,kick love talk
-1,enjoy http video view
-1,kinda hope
-1,sun day enjoy lake kinda couple
-1,life pay job change
-1,brain time woo hoo start exam
1,people comment
-1,color lol love swear wow
-1,time fight fuck wat
1,friday wait home bed
1,sigh fun wear
1,day list migraine
1,life pay time hope wake
-1,laugh haha dog die yeah stick
1,coast time vine brother line jona
-1,hahaha song hear
-1,article illusion time read http ariel fun
1,sell guy ticket hey tour
1,miss tweet gunna lol hope
-1,aww feel love buy blog promise nyc
1,bank day holiday realize wake company
1,happen wat
1,week sit bed hope morning test
1,girl stuff gonna site ticket
1,lol school
1,family miss friend love jay
-1,time roll
1,hurt feel sleep
-1,til wait yesterday break august
-1,freak wait boo gonna
-1,guess people lady
1,week feel miss lol
1,sun summer wait morning office monday
-1,blog http bit
-1,ipod listen music gonna love lie goin hour
-1,time worry project lot
-1,til leave lol pool son wit
1,lunch fun
1,car key
-1,day friend
1,coffee morning world wear
1,laptop buy
1,plan gonna yeah
1,return miss hope boy feel call gonna
1,hey time vote minute
-1,live life http news
-1,lol morning
1,hate house
-1,eye guy wake video
-1,coast day boy trip practice tomorrow
1,baby weekend bed lol sleep yea nite
-1,summer home gonna
1,tonight day time
1,wear school
-1,save lol haha yup soo
1,move time watch hurt fall foot stair
1,friday leave miss home note
-1,start time http feed
1,minute bed
1,leave bird
-1,stop home chicken bag
-1,care people love hangover
1,laptop computer feel hour spend blog
1,week day home exam
1,shower lol hahah twitter sign
1,bring movie omg
-1,star trek watch wolverine bet
-1,ipod song talk guess band
1,math homework sleep bit
-1,watch http google wave
1,life rain stuff pour
-1,fan friend haha
-1,computer home friend tomorrow
-1,thursday school exam tomorrow
1,happen life
-1,rest fun shop
1,lil day town aint
-1,guy visit
-1,hear speak
-1,follow night lol
1,suck break coffee
-1,iphone app
-1,til week luck
-1,mine http bit
-1,yay sun month lol love birthday saturday remind
1,friday hour sleep crap
-1,life drink lol
-1,join fun bday
-1,life people front act
-1,time game concert
-1,bbq time eat tomorrow haha cake birthday meat
-1,win finish
-1,yay house head aunt suck
1,hour time traffic stick london
1,beach life gonna chill
1,hubby day wit class spend
-1,xoxo night hotel check
1,enjoy movie gotta nite
1,driver day leave night feelin
-1,hey day bit exhaust knee act
1,kick ass guy weekend win
-1,yay school gonna field trip hey kid park
-1,day decide people
1,figure watch dance sleep
1,mind morning house phone shop
1,book read write class
-1,bout day start twitter hope morning yall
1,card memory
1,yesterday wait pass
-1,page http home check bit update website guy video
-1,wait month
-1,page write
1,weekend town home morning tomorrow
1,hurt feeling feel friend
-1,tonight day lunch garden
1,ignore lol
1,aunt love leave miss cousin
-1,sunday time tweet morning coffee cup
-1,yep day lol reading book finish watch twilight jona gonna movie
1,eye day sleep morning yesterday
-1,diversity win song yeah
-1,summer hey job news
1,hey goin fan time hope movie premiere
1,http bit
1,feel home sleep
-1,fave love
1,rain car tomorrow pray excite
-1,hey start rock camp
-1,care love post
1,week night
-1,day pick note morning
-1,catch weekend friday bed spend
-1,pick phone lol haha answer food cry
1,life follow twitter people
-1,life enjoy guy cheer
1,hair straighten pay price
-1,fail time twitter mum
1,weekend watch
1,thursday week day leave school understand blow
1,save life meet guy kill
-1,day feel mom parent spend
-1,summer start read
-1,blog love
1,luck school music
-1,house fun
-1,house mom home tomorrow win
1,baby fall
-1,crack lol love talk haha yeah voice
-1,move hope love gig hang
-1,sun shine morning shopping mood
-1,phone iphone
1,feel ice break
1,weekend http friend
1,blog entry
-1,hill award miss finale
-1,mileycyrus day reply
-1,lol news imagine
1,girl love
-1,twitter lol love
-1,stand love write
-1,gym sleep morning
1,count sleep luck
1,life suck lol call tomorrow training
1,summer lol
-1,hack account start add delete facebook
-1,day follow home night
1,head bed wake body
1,party night yall crash
1,happen day love tan
-1,jump lol love hug aww
1,listen music
-1,goin time bed lol finish
-1,figure lol send
-1,dream love
1,flight home tomorrow head visit stick
1,fix bug
-1,fit time guy travel person
1,hand love
-1,happen fall
-1,til time wait leave miss return season
-1,day boy feel winter hope
1,time car
1,week start month
1,catch miss lol tired
1,ipod song omg
-1,summer day
-1,danny love change http guy
-1,time song remind ton love tho
-1,read http bit laugh
-1,tuesday watch
1,week read bed
-1,weekend friday day twit
-1,awwww lol yall miss love link
1,email lol
1,lol country
-1,time read guess fun post
-1,blog http post info
1,laptop screen
1,dude haha hahaha plan
-1,http head
1,day yesterday degree sit hurt
-1,ddlovato fan tour
-1,hope plane
1,walk feel home bore
1,life story watch feel sleep movie mtv award
-1,day bear gift
-1,catch morning power news sunshine
1,sale buy dvd
-1,day pack winter
-1,dont tweet person
-1,time laugh
-1,bring twitter love bitch chocolate chip
-1,pic leave mom daughter
-1,didnt lol call
-1,start job
1,tonight day moon night tomorrow
-1,live hate rock jay leno
1,leave game win night play
1,week gotta gonna wake tomorrow
-1,house rain pick sleep movie dinner date
-1,girl day time twitter sign
-1,mind wake feeling
1,age lol cut guy
-1,summer girl stay miss london
-1,start leave tomorrow
-1,live guess dad
-1,cream cake ice
-1,blip http lol figure leave
1,word hate vote people
1,week leave
-1,sit miss people pray france air
-1,drive lol haha
-1,worry lol
-1,suck feel mom ache
-1,win night
1,fit lol space
-1,eat taste
1,hill love leave
1,watch game feel lol tomorrow sim
1,ddlovato hey vote award
1,catch time bore
-1,week home spend
1,start miss minute class tom
-1,drop gonna
-1,album buy love fave
1,stuff food gotta store grocery
-1,talk bout hope album
1,time month
-1,hour day nap
-1,front sit computer play lose weight
1,friday home tho
1,hate feel coz nite
1,sunday hour day finish
1,wait concert play
1,watch wanna
-1,rest watch hope sleep
-1,life time miss
-1,cool time god
1,arm leg
-1,hate follow people miley cyrus
1,mind talk hope sound
1,live hey start http die ustre dog
-1,tonight bring home movie memory
-1,summer job
-1,yesterday love morning tomorrow shoe pair
1,upload photo
1,night bed hope break
-1,yay wait bro wife hospital
-1,time world person
-1,wear night birthday
-1,yay day watch hospital mom
1,crap feel month
-1,week hour day fun
1,week day feeling stay bed gonna
1,insomnia sleep wow bed
-1,kid parent
-1,buy god mom haha love praise
1,shower home moment
-1,guess fun tho fly
1,fall break heart
1,ass feel drive class
-1,meet time omg concert love def
1,girl beach
1,meet start call dinner
1,day http
-1,lookin day lol chillin
-1,day fun
1,live miss fuck
-1,sun weekend ticket
-1,release album wait love begin movie
-1,concert night rock weather
1,beach jone night haha
1,check lot
-1,live watch haha davidarchie david
-1,feel minute
1,coffee stop rain lunch
-1,buy job http
-1,bring fun video
1,service miss church week yesterday
-1,sun day time enjoy night tweeter
-1,tonight brother night check forget
-1,pic home play
1,sister brother love cousin visit
1,wow wait play finish shop car drive stick
-1,peace day afternoon enjoy fun parent
-1,walk weather lol fit
-1,hug day time god twitter break spend
1,lol trip
1,day hospital lack head update break
-1,ppl http tweet worry
-1,shopping day bro
1,miss forget yeah hang
-1,rest enjoy
1,week class
-1,week day start hope morning californium
1,pic miss lot
1,facebook send month invite
1,laugh movie lot
-1,win bit
-1,stay game
-1,day song hope def finish
-1,jump love shower fun sound join
-1,shit week time rock ring zone
1,hear day hope tomorrow
1,son time yesterday leave twitter graduation mention
1,guy haha love
1,lil feel care bout chat doesnt lady
-1,baby house
1,wow watch wait lose finale
1,weekend watch movie break player dvd
1,live time head station
-1,bout lol dance game boo hell hahah
1,boy enjoy
1,monday plan friend exam change revision park
1,realize house buy leave play tomorrow fit wius parent
-1,hey time follow watch reply love
1,daddy lol dont buy worry http sim
-1,bring time fly
-1,hey house fun guy
1,ouch hurt
-1,tea eat
-1,youtube video leave bird
1,site friend
1,rain car people
-1,yay feel
-1,sun yay
1,hate lol hope
1,rest hope school student break learn
1,breakfast morning power
1,tonight hour bit finish college
-1,pick lol forget blog video
-1,weekend stay feel night sleep morning tomorrow
-1,live happen life hope suppose
-1,donnie donniewahlberg
-1,http win car
-1,plz reply lol day post
1,eye headache sleep
1,hear time game zone
-1,demus lovato song listen world phone
1,lil bro eat taste yeah
-1,hey guy twitter check celeb
-1,enjoy people news
-1,party food love tea finger hat
-1,bring watch love pass concert news message
1,life time
-1,pic change
1,hear lol wht release date
1,listen love
-1,book read stay feel love finish story
1,meeting night birthday
1,run guess message send
1,weekend hey home hang finish hun
1,suck ass phone kinda
1,sister miss hope team france air
-1,hear yesterday song night row
-1,followfriday follow
-1,article illusion time read http ariel fun
1,hey read post
-1,sort lol delete twitter haha
1,woo day friday people gosh
-1,home bed
1,hear head night town bar
1,beach haha hey
-1,start run eat food guess hmmm
-1,eye wait soo
-1,beach watch
-1,shit write story
1,realize hate people
-1,live http ustre sing
-1,enjoy lol holiday haha matter
-1,listen album http
-1,http google beat
1,expect week saturday start school update class
1,hour song fall
-1,follower pay day vip add train
1,talk chance lol hope love change germany
1,bus lol love watch fun rock
-1,leave night check gonna
1,life stop feel heart hope
1,suppose night mood
1,live win ticket love
-1,goin day wait bed tomorrow coffee plan lunch job call
1,day feel tho
1,basketball play
1,ear hear
1,dream lol
-1,weekend house brother
1,project tomorrow
-1,party invite
-1,post send
-1,spending time mine love dress watch nite invite
-1,happen leave love story
1,hear bit hurt
1,life hour spend
-1,catch lol didnt cuz soo kno matter
-1,sooo love
1,meet plan hope event
-1,add twitter check app
1,scare lol call
1,book read wait door car shop
-1,walk day time enjoy break sunshine
-1,stage lol kid
1,hear win love farmer market ticket
1,game school gotta
-1,kick time blog
1,house fun car night bar key steal
1,feel sleep date
-1,walk lol nah hold
-1,realize twitter people love change
1,youtube watch video dance
-1,stuff head tomorrow evening visit
1,meet lol house listen cousin music stick
-1,listen concert love cheese eat mac planet
1,move party time pack sunday monday saturday dinner grad graduation hang packing
1,crack day hospital miss ring bed school
1,family lose fail epic
-1,download http music band
1,car tho
1,power learn
-1,follower pay day vip add train
1,watch lol
1,drink people
-1,ddlovato wait http fun picture alot
1,hope write
1,flight leave home france air plane month
1,hour cry
-1,dish wash house dog gotta bore love
1,hate sound mom fun drive tho
-1,tweet twitter check link click
-1,walk week run hurt mile suck mess knee
-1,plan haha wanna
1,soup chicken home night
1,age friend
1,learn lesson
1,cream ice wait dvd morning daughter
1,day gotta school holiday exam tomorrow
-1,read love film
-1,kick lol
-1,fix tweet follow lot
1,hate lol iphone
1,house rain sit enjoy phone stick tho cuz
1,youtube video twitter
1,watch feel parent
-1,chill day spring excite
-1,watch kinda
1,family home haha aww didnt
-1,library time read lay love
1,pool party day play tomorrow boy hand luck break
1,bed lose hang
1,hour watch tho chance link
-1,wait http couple
1,week stuff lol date
-1,follower twitter
-1,channel time travel david fly
-1,time pick
-1,save start btw reply xxx tom
1,half feel friend
1,kid mother cry heart wanna
1,friend haha
1,summer yesterday feel
-1,cream cake ice
-1,summer lol phone club
-1,car drive
-1,article write tomorrow
1,bout time lol wat lunch forget nxt doesnt
1,pay rent feel parent
-1,trouble time prayer school
-1,hear month sing
-1,thursday day tan bit burn
-1,summer day home school
-1,day plant mother mama love tree
1,issue time watch drive play
1,stop leave head
-1,wave google
1,bring cat home hubby kitty window
1,time http bit post
-1,run lol shop remind
-1,lol hope
-1,hear tweet bet twitter tomorrow
1,reason http upload send wap
-1,eye guy hey jonasbrothers
1,sun stay head tan guy
1,release time wait game sim
-1,talk friend
-1,lie day night gonna game win woot
1,shift week hour night sleep
1,fan tweet vote guy love wont david
-1,happen hey twitter haha reply
1,start job luck
1,talk understand twitter people lose
-1,yay day plan library graduation trip
1,tonight episode play gonna yeah
-1,walk day mile lol
-1,hour listen wait pass
-1,weekend talk plan night
-1,sun day play revise xxx bore
-1,neighbor lol idea gonna fav
-1,week time beat
-1,word hey lol add fun
1,omg month
1,miss excite tho
-1,move week
-1,day neighbor lunch garden join home
1,house leave miss fun friend haha hmm gosh
-1,service phone
1,summer start wanna class tomorrow figure
-1,woohoo love cousin child
1,talk sit coffee shop
-1,kid haha leg
-1,book read gonna movie tho
-1,install window hour feel update
-1,aim talk leave haha run
1,tennis play hand
-1,follow leave check friend comment
-1,life day lol hope birthday
1,xxx hope notice send
-1,word talk bout
1,yeah lose
1,baby weekend miss suck blast
-1,diet start food idea lol hope tip
1,yesterday bit
-1,yay time home hope sleep love lunch matt
1,board plane party http miss ass
-1,june event lol
-1,draw love heart break
-1,shift hour time chri miss wait line concert ticket
1,girl party hear lol cuz son
-1,move kid music
1,hair friend drink cat
1,til tomorrow bbq
-1,walk day lot cake
1,city miss gonna forget
1,soo lol
1,cream day ice suck
-1,sunday rain hope sister
1,time friend spend
-1,tonight wait band
-1,sun wear
-1,hahaha life realize eat
-1,tweep night hope couple store tomorrow
1,hear talk people
-1,guy beat
-1,sun run morning
-1,talk day people wear hide
-1,coffee http
-1,watch lay bed bit tire
1,book start lot
1,sun bbq house day time tomorrow office mate
-1,swift listen taylor bed school sleep tomorrow
-1,mall lol week meeting guess shop grow
-1,shit talk wait tomorrow meet hang feeling
1,chill wait fall
-1,sister miss lol chance tweet
1,miss cry haha
-1,plan wait trip news
-1,word http lol
-1,day wait mother concert lol ima
1,moment lol hurt sleep knee tomorrow yeah
1,diversity win talent britain
1,lol gonna
-1,hey fun lol yeah lot
1,week day leave call duty
1,leave head wake
1,day miss tear
-1,jump bed
-1,http cheer bit remember
-1,omg song post
-1,yay hour head twitter
-1,care feel twitter love company
1,sun week
-1,swear day yall
-1,girl miss flight
1,move hour day time stop
1,pool feel lol love push
-1,friday follow stay bed people morning
1,finger hurt toe
1,reply tweet
1,day flight leave miss
-1,pic facebook post
1,night call
1,meet talk miss call boo
1,note write night daughter
-1,lunch fun havin
-1,explode head idea
-1,design site
1,read twitter
-1,girl home lol wit gonna sleep wrk
1,kitty miss picture
-1,live friend check
-1,eat feel
-1,life kid watch gonna record
1,clothes love sleep deprive
1,start school
1,ugh people
1,summer hit bed fuck
1,lose break
1,decide hope message check
1,son mother
1,feel babe miss
1,head luck
1,awww time boss suck reply
-1,dream leave love
1,eat drink
1,cook david god bless
-1,mileycyrus mtv award win vote haha
1,meet person
-1,dude lol walk house drink shout
-1,world rock
-1,chance feel pull june
1,yesterday night london
1,sunday weather play wake basketball
1,family game
-1,follow world reply twitter message lol
-1,buy wait phone app
1,tweet friend
1,science math
1,drive morning
1,series watch finish online lol feel
-1,day tip money
-1,time support learn
-1,hey buy coffee
-1,follower pay day vip add train
-1,girl dog
1,toy story
1,book time night bus
-1,follower pay day vip add train
-1,talk wanna sleep haha pull couple
1,wife home drive nut
1,check tomorrow
1,hour day suck home school gonna
1,time row video
1,house miss cousin gotta play finish
1,start sit miss
-1,chocolate chip
1,pic twitter upload wont
1,soccer game
1,weekend miss fun friend vacation
-1,twitter love
1,time idea god cry haha
-1,hey reply hope facebook
-1,yay baby
-1,myspace check profile update picture bed link
1,family day time hope spend stress join event
-1,tonight saturday wait drive goodnight bday
-1,girl hug feel heart home
1,lie time wake morning
1,baby aww pick fall hold
-1,luck gonna
1,sister watch home tweet
1,pic day lol
1,wow watch
-1,family day war star celebrate
1,day home school
-1,eye lol haha hang
-1,hear yesterday follow
-1,figure hope morning
-1,week buy london dvd
-1,card day love ddlovato haha rock camp mother lot
1,guess night nap
1,kick ass
-1,follower pay day vip add train
-1,follower pay day vip add train
-1,eye wait fall sleep
1,rest hear word
-1,game night
1,home office
1,fail watch http twurl
1,omg night
-1,shoot photo mom friend beer
1,hour day guess fun tho
1,suppose bed sleep http lay
1,aim talk listen miss
-1,bring day hug pick business
-1,yay bed
-1,sister talk hour brother love spend wedding law
-1,school drama
1,ppl time night lol wow omg class
-1,wait class
1,ugh gonna
-1,week moment load fun hero guitar
1,suck omg
-1,hahaha day mine
1,block time follower
1,reading book lot
1,internet access
1,hate love
-1,rest fun gonna wake
1,day weather drive lesson
-1,yoga class
1,fun bed
1,move hate
1,leave enjoy phone call sleep
1,lil wait sleep heart bed
-1,stage wait concert
-1,rest time jonathanrknight
-1,tweet luck
-1,book read moon twilight hope dream chance
-1,talk hour home bed dance
-1,summer day lot wake board water
1,bone watch miss night rock finale
-1,pain foot
-1,listen lol love win idol allen kris
-1,woo lol hahaha shopping bed goodnight
-1,yay buy gonna ticket
1,time stay write essay
-1,sound love fall voice
-1,cat night wake middle
1,week kid holiday
-1,blast night die play band rock drum guitar
-1,day fun lol sleep abt
-1,weekend meet time enjoy lol chance
-1,girl pic heart lol vid tha
1,hear time yesterday
-1,sun window morning
1,time ahhh memory
-1,june date tour
1,time lol write send
-1,cream ice
-1,shit scare head office
1,life dad
-1,day concert
1,dont person
-1,job shame
-1,happen time tweet build
1,aunt day awww miss home spend
-1,fail http check yeah mail
-1,wife night god feel bless date
1,move wanna
-1,follow yeah learn cuz
-1,hey gotta
-1,hey chat guy voice
1,day lunch watch eat home
1,follow lol forget update
1,kid twitter play wanna
-1,song head stick
-1,weekend ride
1,shower wake feeling bit
-1,http hope bit
1,tonight home night bed
1,tonight girl time food training
-1,time lol
1,game download sim
1,hour leave drive
-1,ppl lol haha party yea def
-1,lookin lol sound youre
-1,copy lol people
-1,suck fall kinda
1,hate day wait
-1,girl time god omg month speak idea exam
1,bing google suppose lol link
1,guy night call
-1,life finish chapter
-1,hear check
1,brain sleep lie start head
-1,dont time guess win people morning gotta tear
-1,mileycyrus life love rock
-1,wow god lol haha drag hell huh gym ohh
1,day sit lol
1,care lol bout mess abt gosh
1,drop gonna kill
1,live house kid drive mother
-1,summer finish
1,meet talk time gonna fuck story
-1,week coffee time rain sit garden
-1,street lol love buy
-1,rain listen park
1,time tweet fun bit
1,hate day school
1,baby people comment
-1,life day degree
1,pick feel wanna
1,home call
1,tonight rest feel miss gym
1,guess check
-1,aww lol jus chicken doin wat
-1,yesterday home
1,fail day play game
1,box buy yesterday
1,tonight family catch jon kate
-1,house wait lady mail
-1,time home hope birthday
-1,sunday play school kid
1,track time lose meeting miss night studio
-1,house day enjoy home hope love chillin
1,omg finish
-1,prepare time pass miss fall hope
-1,hair girl
1,time kid
1,buy drink lose
1,mine http lol piss win
-1,weight lose hope
-1,beach weekend week boy
1,mum feel drop
-1,life money
1,bring leave lol hear bye shame
1,eye tweet friend
1,girl party haha birthday
-1,ipod play
1,kid buy stuff
1,family head home dinner goin mum omg
-1,festival day breakfast eat germany tomorrow
-1,piss day love twitter
1,wait leave post
1,family hour tomorrow dinner count tooth wisdom graduation
1,day watch season
-1,tonight sister school
1,yesterday boy miss love nick jona chat
1,night post
1,boyfriend miss night twitter sleep
-1,hour time lunch breakfast
1,summer jam http guy bit deserve
-1,yay exam tomorrow birthday bout
1,kid movie kinda
1,top lol leave
-1,omg http soo
-1,pic http haha
1,hour day home lot
-1,wow time twitter
1,lie feel lol pain
1,tuesday wait talk stop song guy
-1,charge lol mess post
-1,stuff lol american idol iphone ahh
1,eye morning
-1,mtv watch award movie
-1,ipod listen radio
1,http car check mypict
-1,chill day http hope
-1,bring life
1,summer guy spend die
1,watch fall sleep love
1,shopping run guy
1,http vote bit
1,move stuff wait love finish lay
1,summer buy fall break
-1,shot time http love rain photo
1,release date
1,shoot time post
1,session time book miss speak
1,site website web
1,rain lunch
1,tea drink sleep house wake
1,dance miss guy friend class
-1,eat birthday
-1,respect love world change spread
-1,hour day time yesterday miss bed tire morning
-1,hear wait http voice
-1,cream time ice load
-1,twitter night people
1,lol store app
1,cook feel lol cousin
-1,feel haha
1,meet fun enjoy
1,weekend follow
1,head write morning tweeter
-1,day page
-1,day fun
-1,bed write
1,read yesterday die rip
-1,day mama fuck bed haha love morning
1,house minute call
-1,life day laugh twitter dad spend celebrate
1,spear britney house minute
-1,suck stuff
1,stop feel drive love visit
-1,drink drive
-1,babe hope
-1,contact info chillin lol guess doin
1,hit week http happen myloc
1,fun lady love club
1,friday leave http spend plan
1,hair sleep
-1,day myspace home check
-1,bbq time night friend swim celebrate
-1,saturday leave fun morning idea god hang
-1,service time wait iphone tomorrow app
-1,hahaha hope kid grow
-1,walk shower bitch ass fuck
1,hear sit wait shopping garden door
1,girl live time buy tour hope afford
-1,monday hey call
-1,half wait pic tho
-1,til start wait world dvd
1,tweet web
1,song play gonna player
1,house dog miss follow remind
1,half month puppy dog die rip
1,week friday afternoon love
-1,album wait
-1,tonight weekend pick airport
1,reach http start rain feeling head home bit gonna
1,tonight party talk feel
-1,bless night beat
-1,follower pay day vip add train
1,online watch jona cable morning goodnight
1,hate hope test
1,woo wait hahaha leave http weekend
-1,adam kris allen
-1,live week http blip head stick
1,vet cat
1,party drink
-1,news call
1,flower love grow home store stick smell
-1,city http love jonasbrothers joe
1,evening love
1,twitter haha
-1,kick lol fool plan business art
1,tooth wisdom
1,job home night bed bit sleep
-1,figure follow
1,pass car play
-1,follower pay day vip add train
1,half eat lol morning mommy yesterday brother
-1,fun guy finish
1,expect lol follow continue laugh joke
-1,life time lady
-1,book time
1,hour time tomorrow road hold
1,pic stuff start
-1,jump day bed stuff wait guess
-1,dream night
1,time fun bed school kiss
-1,hour day wow lot tomorrow
1,hour leave bore
1,wanna night lol post picture
-1,business trip
1,start tour line date
1,weekend hour twitter
-1,haha band
-1,run mile
1,change lol hope yeah
-1,lol hope
1,start tweet send
-1,hit feel morning pay hangover
-1,bring feel
-1,shoot fun
1,boyfriend day parent hope date
-1,wind day ride
-1,follow list music
-1,read mom love daughter
1,waste time ugh wanna home night
1,soccer game
1,storm lol love guess head drive class
1,week hour morning stick traffic
1,mileycyrus award vote hope luck
1,bbq weather
1,article read page load site wait friend lunch
-1,plan buy
-1,fun school
1,fix bug hope
-1,damn haha cos
-1,house day listen music lot
-1,feel lol
-1,day read blog enjoy mom love
1,war star day film month
1,http download myloc
1,rest day coffee carry donut office
1,return day home suck feel school practice
-1,night ticket friend
-1,day watch fun friend movie tomorrow
-1,week town sit enjoy weather lol
1,computer home break guess
-1,hate phone hope answer headache
1,fall night hope foot
-1,prayer god dad
1,rain omg tweet
1,live watch channel online
1,fix car
-1,competition win run luck
-1,happen wait
1,night sleep lot
1,meet haha
1,hey run
1,walk dog
-1,god people line
1,hour night lot test
1,happen guy jonathanrknight
-1,life day god haha figure wash stick
1,pill sleep headache music
1,pick morning manage lose
-1,shoot http photo forget
1,weekend time friend
-1,life update love jesus
-1,watch http home
1,party house watch morning birthday
-1,guy lot
1,sun rain guess lol hey kill
1,dress wait leave lady
1,day saturday
-1,storm day hope school
1,cheer friend tomorrow
-1,minute forget
1,job sleep schedule
1,miss school tomorrow daughter
-1,hear voice
1,tonight home car
-1,party life time stay mood
1,hate boo feel yeah
-1,thursday love plan haha archuleta david
-1,sit run phone
-1,screen iphone home remember
-1,reach http plan blog post website
-1,beach hit party tomorrow birthday park
-1,http song play child
1,tea eat morning water cereal office
-1,pic wait lol kid drop
1,catch time watch happen yeah wake
-1,freak lol
-1,sell guy call
-1,house sleep couple
-1,half wait front sit dress computer wake
-1,day listen smile sleep
1,week watch miss concert
-1,talk friend yeah
1,flight miss home morning church cancel dad
1,sit lol people
1,age time wash weather grow
1,aww lol bout home stop worry dnt gettin
1,life week bed people call tomorrow
1,fall bed wake
-1,dream night bed forget exam
-1,follower twitter text yall
1,day update
-1,half hour day eat butter peanut walk town apple breakfast
-1,chance http bit
1,mom guess bday
1,rest love concert
-1,yay time night check
1,hear lady
1,week news
1,house time leave hell
1,hear song die voice
1,yay day time wow
1,diet day water stick birthday
1,arm hurt cut home
1,house kid play ball
-1,hope gonna love
1,color day heat
1,driver drive ride
1,rest home night feeling
1,http hope love
-1,copy buy album run store
-1,girl hey day hope love tomorrow wat studio
1,love hangover line
-1,live night break
1,join twitter tweet
1,omg twitter news
1,baby girl
-1,fix computer
-1,wow people morning
-1,rain garden
-1,church wake
1,leave miss school allen kris
1,mine lol yesterday tooth brush gotta
1,week time rain garden plant
1,life watch change youtube
1,walk hope awww mother gotta
1,concert guy david
-1,dont worry
1,hurt cuz kinda
-1,day vote friend movie
-1,shit write
1,hey stuff
-1,stop eat love yum pizza birthday office
-1,day rain watch bed movie morning
1,day time revise lol tomorrow
-1,word day god awww bless
-1,watch tour night
-1,blip http feeling morning
1,haha yeah
-1,bbq hope
1,tonight hill feel lauren finale dont
1,eye feel lol talk guess people
1,deal love change post jus news
-1,ball play
-1,tonight life enjoy
1,walk hour yesterday hurt leg night sleep
1,hate time miss class homework
